din_instante,region,demand [MW]
2024-01-01 00:00:00,N,6539.55999999
2024-01-01 00:00:00,NE,11976.884
2024-01-01 00:00:00,S,9966.972
2024-01-01 00:00:00,SE,34981.614
2024-01-01 01:00:00,N,6614.83599999
2024-01-01 01:00:00,NE,12152.31599999
2024-01-01 01:00:00,S,10010.32799999
2024-01-01 01:00:00,SE,34968.063
2024-01-01 02:00:00,N,6724.34299999
2024-01-01 02:00:00,NE,12259.744
2024-01-01 02:00:00,S,9742.26399999
2024-01-01 02:00:00,SE,34671.58099999
2024-01-01 03:00:00,N,6757.857
2024-01-01 03:00:00,NE,12240.169
2024-01-01 03:00:00,S,9420.87199999
2024-01-01 03:00:00,SE,34035.34399999
2024-01-01 04:00:00,N,6757.055
2024-01-01 04:00:00,NE,12091.749
2024-01-01 04:00:00,S,9258.319
2024-01-01 04:00:00,SE,33420.27199999
2024-01-01 05:00:00,N,6711.10499999
2024-01-01 05:00:00,NE,11516.344
2024-01-01 05:00:00,S,8929.824
2024-01-01 05:00:00,SE,32566.14699999
2024-01-01 06:00:00,N,6496.01399999
2024-01-01 06:00:00,NE,11268.57
2024-01-01 06:00:00,S,8906.15699999
2024-01-01 06:00:00,SE,31666.953
2024-01-01 07:00:00,N,6216.587
2024-01-01 07:00:00,NE,11147.05699999
2024-01-01 07:00:00,S,9195.85399999
2024-01-01 07:00:00,SE,31586.89099999
2024-01-01 08:00:00,N,6139.517
2024-01-01 08:00:00,NE,11034.39799999
2024-01-01 08:00:00,S,9342.33499999
2024-01-01 08:00:00,SE,31968.854
2024-01-01 09:00:00,N,6070.086
2024-01-01 09:00:00,NE,10766.85199999
2024-01-01 09:00:00,S,9656.685
2024-01-01 09:00:00,SE,32524.471
2024-01-01 10:00:00,N,6047.08
2024-01-01 10:00:00,NE,10805.03199999
2024-01-01 10:00:00,S,9967.482
2024-01-01 10:00:00,SE,33201.961
2024-01-01 11:00:00,N,6008.259
2024-01-01 11:00:00,NE,10791.83499999
2024-01-01 11:00:00,S,10177.89499999
2024-01-01 11:00:00,SE,33696.33799999
2024-01-01 12:00:00,N,5816.487
2024-01-01 12:00:00,NE,10738.26199999
2024-01-01 12:00:00,S,10093.756
2024-01-01 12:00:00,SE,34121.33
2024-01-01 13:00:00,N,5867.43499999
2024-01-01 13:00:00,NE,10625.94699999
2024-01-01 13:00:00,S,10023.17
2024-01-01 13:00:00,SE,33730.23299999
2024-01-01 14:00:00,N,6089.52399999
2024-01-01 14:00:00,NE,10559.429
2024-01-01 14:00:00,S,10036.39699999
2024-01-01 14:00:00,SE,33299.403
2024-01-01 15:00:00,N,6240.988
2024-01-01 15:00:00,NE,10563.875
2024-01-01 15:00:00,S,10126.793
2024-01-01 15:00:00,SE,33289.91
2024-01-01 16:00:00,N,6296.92399999
2024-01-01 16:00:00,NE,10628.63699999
2024-01-01 16:00:00,S,10460.56
2024-01-01 16:00:00,SE,34092.783
2024-01-01 17:00:00,N,6330.95699999
2024-01-01 17:00:00,NE,11204.202
2024-01-01 17:00:00,S,10982.15499999
2024-01-01 17:00:00,SE,35239.11
2024-01-01 18:00:00,N,6613.57
2024-01-01 18:00:00,NE,12407.213
2024-01-01 18:00:00,S,11392.919
2024-01-01 18:00:00,SE,37308.16199999
2024-01-01 19:00:00,N,6963.043
2024-01-01 19:00:00,NE,12815.302
2024-01-01 19:00:00,S,12374.944
2024-01-01 19:00:00,SE,40926.58099999
2024-01-01 20:00:00,N,7135.54
2024-01-01 20:00:00,NE,12895.836
2024-01-01 20:00:00,S,13157.18499999
2024-01-01 20:00:00,SE,41627.02099999
2024-01-01 21:00:00,N,7338.398
2024-01-01 21:00:00,NE,13140.175
2024-01-01 21:00:00,S,13116.84699999
2024-01-01 21:00:00,SE,41040.771
2024-01-01 22:00:00,N,7498.779
2024-01-01 22:00:00,NE,13232.27
2024-01-01 22:00:00,S,12821.061
2024-01-01 22:00:00,SE,40068.401
2024-01-01 23:00:00,N,7517.721
2024-01-01 23:00:00,NE,12947.664
2024-01-01 23:00:00,S,12176.90499999
2024-01-01 23:00:00,SE,38113.08699999
2024-01-02 00:00:00,N,7463.09299999
2024-01-02 00:00:00,NE,12543.28899999
2024-01-02 00:00:00,S,11483.81
2024-01-02 00:00:00,SE,36472.09799999
2024-01-02 01:00:00,N,7355.905
2024-01-02 01:00:00,NE,12218.982
2024-01-02 01:00:00,S,10793.31099999
2024-01-02 01:00:00,SE,34893.14499999
2024-01-02 02:00:00,N,7246.546
2024-01-02 02:00:00,NE,11983.052
2024-01-02 02:00:00,S,10497.51299999
2024-01-02 02:00:00,SE,33837.95199999
2024-01-02 03:00:00,N,7133.265
2024-01-02 03:00:00,NE,11775.618
2024-01-02 03:00:00,S,10334.08599999
2024-01-02 03:00:00,SE,33352.399
2024-01-02 04:00:00,N,7041.554
2024-01-02 04:00:00,NE,11688.447
2024-01-02 04:00:00,S,10249.56699999
2024-01-02 04:00:00,SE,33438.50399999
2024-01-02 05:00:00,N,6922.72199999
2024-01-02 05:00:00,NE,11175.959
2024-01-02 05:00:00,S,10306.821
2024-01-02 05:00:00,SE,33643.44199999
2024-01-02 06:00:00,N,6686.807
2024-01-02 06:00:00,NE,11023.997
2024-01-02 06:00:00,S,10929.85299999
2024-01-02 06:00:00,SE,35007.365
2024-01-02 07:00:00,N,6614.619
2024-01-02 07:00:00,NE,11505.023
2024-01-02 07:00:00,S,12047.19699999
2024-01-02 07:00:00,SE,37745.805
2024-01-02 08:00:00,N,6712.24799999
2024-01-02 08:00:00,NE,12125.11699999
