,SE,S,NE,N
2025-01-01 00:00:00,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,0.0029817548250752578,0.001282370419903032,0.0,0.001134589509859003
2025-01-01 09:00:00,0.10361185615576828,0.27088506169119686,0.030778012686871838,0.20320113842497053
2025-01-01 10:00:00,0.39512110650861354,0.7860388243254735,0.1774166656501263,0.8242560776102865
2025-01-01 11:00:00,0.6521652436513385,0.9318728193111201,0.3536182401231148,0.9699478904178415
2025-01-01 12:00:00,0.909491215886842,0.9865198917328419,0.6789037900528672,0.8408574665553795
2025-01-01 13:00:00,0.9204077537865981,0.7689753539164883,0.7225024445387241,0.7130297536073703
2025-01-01 14:00:00,0.9419420313036838,0.75078736183343,0.7285995619350188,0.845493139088457
2025-01-01 15:00:00,0.9093148012834098,0.7541554751678549,0.5754523575998518,0.9225513676745698
2025-01-01 16:00:00,0.7210949958623043,0.9183589779532783,0.5537856992156777,0.7002528293980465
2025-01-01 17:00:00,0.5649729873888134,0.9926830357092791,0.2614663600209569,0.9271099539387302
2025-01-01 18:00:00,0.18852189697315064,0.9676578712151743,0.7785563620989686,0.9180704278786092
2025-01-01 19:00:00,0.1735583655765654,0.9148837963240496,0.10876546666875174,0.6546314127550734
2025-01-01 20:00:00,0.023844831078959714,0.6143349983183403,0.10561566773378007,0.3458796430048438
2025-01-01 21:00:00,0.023601637244932847,0.06413576279650109,0.024299833504160595,0.09314098820273026
2025-01-01 22:00:00,7.707389211003737e-05,0.0004380097513498998,0.0,0.00014957164414720105
2025-01-01 23:00:00,0.0,0.0,0.0,0.0
2025-01-02 00:00:00,0.0,0.0,0.0,0.0
2025-01-02 01:00:00,0.0,0.0,0.0,0.0
2025-01-02 02:00:00,0.0,0.0,0.0,0.0
2025-01-02 03:00:00,0.0,0.0,0.0,0.0
2025-01-02 04:00:00,0.0,0.0,0.0,0.0
2025-01-02 05:00:00,0.0,0.0,0.0,0.0
2025-01-02 06:00:00,0.0,0.0,0.0,0.0
2025-01-02 07:00:00,0.0,0.0,0.0,0.0
2025-01-02 08:00:00,0.007257099105332692,0.0005539981085167207,0.0,6.021487533879614e-05
2025-01-02 09:00:00,0.11349590645251724,0.10792098154698765,0.02930456540640251,0.05363748840054111
2025-01-02 10:00:00,0.41512795255490553,0.5919455845763828,0.13017627385424124,0.35087257057402044
2025-01-02 11:00:00,0.7377583543269567,0.8088732021540589,0.1979601158155789,0.9569450023003035
2025-01-02 12:00:00,0.7921240577464943,0.9085255158472688,0.365956092751589,0.962318833735359
2025-01-02 13:00:00,0.9675702589527303,0.9410589153386828,0.7073968220858863,0.7117961135187156
2025-01-02 14:00:00,0.9456078825441757,0.5721566499118471,0.8483520761531014,0.8507682460093944
2025-01-02 15:00:00,0.9069042076956729,0.15833783824004105,0.7898919891312761,0.8206835576127107
2025-01-02 16:00:00,0.8783483114408212,0.1933910787679774,0.8818251582643412,0.9078634221352162
2025-01-02 17:00:00,0.7852086218920048,0.18464740433219803,0.9079387866445775,0.9125521399345726
2025-01-02 18:00:00,0.5462738294513074,0.1597457836875125,0.9115312177677212,0.6888849689686647
2025-01-02 19:00:00,0.14584621564528,0.18983116802833275,0.6895865859926886,0.7627619932532747
2025-01-02 20:00:00,0.012264837564218504,0.10838304978584445,0.2548560674814268,0.5213064641251284
2025-01-02 21:00:00,0.0014326314120020212,0.019026839870176126,0.04090676702066549,0.12376025555099328
2025-01-02 22:00:00,7.4409750721117116e-06,0.0006506372742785581,0.0,0.0002458066937138092
2025-01-02 23:00:00,0.0,0.0,0.0,0.0
